name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,,
Dino Roller,Steel,Sit Down,29,6,150,0,Cavazza Diego,Flamingo Land Theme Park and Zoo,status.operating,,
King Solomon's Mines,Steel,Sit Down,,12,487,0,na,Southport Pleasureland,status.closed.definitely,,
Magnum Force,Steel,Sit Down,86,33,990,3,Schwarzkopf,Flamingo Land Theme Park and Zoo,status.closed.definitely,,
Shockwave,Steel,Stand Up,80,36,500,4,Intamin,Drayton Manor,status.operating,,
Super Dragon Coaster,Steel,Sit Down,25,5,,0,Pinfari,Drayton Manor,status.closed.definitely,,
Thunder Mountain,Steel,Sit Down,46,13,335,0,Pinfari,Flamingo Land Theme Park and Zoo,status.closed.definitely,,
Traumatizer,Steel,Inverted,80,34,689,5,Vekoma,Southport Pleasureland,status.closed.definitely,,
Wild Mouse,Steel,Sit Down,45,15,370,0,Maurer,Flamingo Land Theme Park and Zoo,status.closed.definitely,,
Wild Cat,Steel,Sit Down,46,13,335,0,Pinfari,Southport Pleasureland,status.closed.definitely,,
Galactica,Steel,Flying,75,20,840,3,B&M,Alton Towers,status.operating,,
Avalanche,Steel,Bobsleigh,50,20,455,0,Mack,Blackpool Pleasure Beach,status.operating,,
Beastie,Steel,Sit Down,25,5,,0,Pinfari,Alton Towers,status.closed.definitely,,
Big Apple,Steel,Sit Down,,,,0,Pinfari,Blackpool Pleasure Beach,status.closed.definitely,,
Black Hole,Steel,Sit Down,65,14,585,0,Schwarzkopf,Alton Towers,status.closed.definitely,,
Little Dipper,Steel,Sit Down,,3,,0,Pinfari,Lightwater Valley,status.operating,,
Corkscrew,Steel,Sit Down,64,23,732,2,Vekoma,Alton Towers,status.closed.definitely,,
Dragon,Steel,Sit Down,,,,0,WGH Transportation,Legoland Windsor,status.operating,,
Dragon's Apprentice,Steel,Sit Down,,,,0,WGH Transportation,Legoland Windsor,status.operating,,
Grizzly Bear,Steel,Sit Down,50,12,434,0,Pinfari,Lightwater Valley,status.closed.definitely,,
